Subject,Occurrence,,Theme,Subjects,Subjects,Subjects,Subjects,,Compiled Occurrence
Arts,2,,Urban Planning,Beautification,Public Safety,Transportation,Housing,,
Beautification,37,,Infrastructure,Business,Investment,Legal Assistance,City Services,,
Business,29,,Education & Community Outreach,Education,Arts,Civic Engagement,,,
City Services,12,,Community Health,Health,Rehabilitation,Homelessness,,,
Civic Engagement,7,,Sustainability,Environmental Social Justice,Urban Farming,Food,Sustainability,,
Education,35,,Livelihood,Youth,Families,Seniors,Job & Life Skills,,
Environmental Social Justice,17,,,,,,,,
Families,3,,,,,,,,
Food,17,,,,,,,,
Health,7,,,,,,,,
Homelessness,6,,,,,,,,
Housing,36,,,,,,,,
Investment,16,,,,,,,,
Job & Life Skills,13,,,,,,,,
Legal Assistance,3,,,,,,,,
Public Safety,13,,,,,,,,
Rehabilitation,6,,,,,,,,
Seniors,2,,,,,,,,
Sustainability,32,,,,,,,,
Transportation,6,,,,,,,,
Urban Farming,19,,,,,,,,
Youth,21,,,,,,,,
